,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
157,2021-03-11,723.5768271843879,661.4981513665264,795.1315660725188,723.5768271843879,723.5768271843879,0.4026590766971881,0.4026590766971881,0.4026590766971881,0.4026590766971881,0.4026590766971881,0.4026590766971881,0.0,0.0,0.0,723.9794862610851
158,2021-03-12,722.2508966363243,655.9508854472338,789.4250266524344,722.2508966363243,722.2508966363243,1.15907463769956,1.15907463769956,1.15907463769956,1.15907463769956,1.15907463769956,1.15907463769956,0.0,0.0,0.0,723.4099712740239
159,2021-03-15,718.2731049921341,652.9831923434103,786.4194994504627,718.2731049921341,718.2731049921341,-0.9272771077614674,-0.9272771077614674,-0.9272771077614674,-0.9272771077614674,-0.9272771077614674,-0.9272771077614674,0.0,0.0,0.0,717.3458278843726
160,2021-03-16,716.9471744440706,653.4020410748108,785.1825204677075,716.9471744440707,716.9471744440707,2.136302149538014,2.136302149538014,2.136302149538014,2.136302149538014,2.136302149538014,2.136302149538014,0.0,0.0,0.0,719.0834765936086
161,2021-03-17,715.621243896007,649.758228978813,780.261869093377,715.621243896007,715.621243896007,0.3623332739307346,0.3623332739307346,0.3623332739307346,0.3623332739307346,0.3623332739307346,0.3623332739307346,0.0,0.0,0.0,715.9835771699377
162,2021-03-18,714.2953236496743,650.1875836842003,785.9596454744585,714.2953236496743,714.2953236496743,0.4026590767018629,0.4026590767018629,0.4026590767018629,0.4026590767018629,0.4026590767018629,0.4026590767018629,0.0,0.0,0.0,714.6979827263762
163,2021-03-19,712.9694034033416,649.7975257307164,776.3003737946605,712.9694034033416,712.9694034033416,1.159074637700263,1.159074637700263,1.159074637700263,1.159074637700263,1.159074637700263,1.159074637700263,0.0,0.0,0.0,714.128478041042
164,2021-03-22,708.9916426643433,645.2872411268761,774.8315513200382,708.9916426643433,708.9916426643433,-0.9272771077706728,-0.9272771077706728,-0.9272771077706728,-0.9272771077706728,-0.9272771077706728,-0.9272771077706728,0.0,0.0,0.0,708.0643655565726
165,2021-03-23,707.6657224180107,647.8262464039118,779.0821130041521,707.6657224180107,707.6657224180107,2.136302149540831,2.136302149540831,2.136302149540831,2.136302149540831,2.136302149540831,2.136302149540831,0.0,0.0,0.0,709.8020245675515
166,2021-03-24,706.3398021716779,640.4761842441885,777.8435786418644,706.3398021716779,706.3398021716779,0.3623332739310107,0.3623332739310107,0.3623332739310107,0.3623332739310107,0.3623332739310107,0.3623332739310107,0.0,0.0,0.0,706.7021354456089
167,2021-03-25,705.0138819253452,641.309685526909,772.5586984168199,705.0138819253452,705.0138819253452,0.40265907670653767,0.40265907670653767,0.40265907670653767,0.40265907670653767,0.40265907670653767,0.40265907670653767,0.0,0.0,0.0,705.4165410020518
168,2021-03-26,703.6879616790123,638.4728078491205,769.2103134867441,703.6879616790123,703.6879616790123,1.159074637700966,1.159074637700966,1.159074637700966,1.159074637700966,1.159074637700966,1.159074637700966,0.0,0.0,0.0,704.8470363167133
169,2021-03-29,699.7102009400141,636.9848723530952,761.5786631154425,699.7102009400141,699.7102009400141,-0.927277107769589,-0.927277107769589,-0.927277107769589,-0.927277107769589,-0.927277107769589,-0.927277107769589,0.0,0.0,0.0,698.7829238322446
170,2021-03-30,698.4836776532521,636.7653179968954,765.2805263364728,698.4836776532521,698.4836776532521,2.1363021495366743,2.1363021495366743,2.1363021495366743,2.1363021495366743,2.1363021495366743,2.1363021495366743,0.0,0.0,0.0,700.6199798027887
171,2021-03-31,697.2571543664901,635.4761285592923,763.913299779568,697.2571543664901,697.2571543664901,0.36233327392633247,0.36233327392633247,0.36233327392633247,0.36233327392633247,0.36233327392633247,0.36233327392633247,0.0,0.0,0.0,697.6194876404164
